THE	TH IH
TEMPO	T IH M P AO
TEMPO	T AH M P AH
QUADRUPLE	K UW AH D R UW P L IH
QUADRUPLE	K AH AH D R AH P L AH
TEMPI	T IH M P IY
TEMPI	T AH M P AH
QUINTUPLE	K UW IY N T UW P L IH
QUINTUPLE	K AH AH N T AH P L AH
QUINTUPLE	K UW IY N D UW P L IH
SPICK	S P IY K K
SPICK	S P AH K K
CARPETS	K AH R P IH T S
CARPETS	K AH R P AH T S
CARPETS	K AH R P IH D S
SERGE	S IH R G IH
SERGE	S AH R G AH
DIGESTIVE	D IY G IH S T IY V IH
DIGESTIVE	D AH G AH S T AH V AH
DIGESTIVE	D IY G IH S D IY V IH
RECITATIONS	R IH K IY T AH T IY AO N S
RECITATIONS	R AH K AH T AH T AH AH N S
RECITATIONS	R IH K IY D AH D IY AO N S
DANCER	D AH N K IH R
DANCER	D AH N K AH R
ANTIDOTE	AH N T IY D AO T IH
ANTIDOTE	AH N T AH D AH T AH
ANTIDOTE	AH N D IY D AO D IH
SWISHING	S W IY S HH IY N G
SWISHING	S W AH S HH AH N G
TRUTHFULLY	T R UW T HH F UW L L Y
TRUTHFULLY	T R AH T HH F AH L L Y
TRUTHFULLY	T R UW D HH F UW L L Y
ASLANT	AH S L AH N T
BEHRING	B IH HH R IY N G
BEHRING	B AH HH R AH N G
COMIN	K AO M IY N
COMIN	K AH M AH N
COMMONEST	K AO M M AO N IH S T
COMMONEST	K AH M M AH N AH S T
SHRUB	SH R UW B
SHRUB	SH R AH B
OBSTRUCTED	AO B S T R UW K T IH D
OBSTRUCTED	AH B S T R AH K T AH D
OBSTRUCTED	AO B S T R UW K T IH T
OBSTRUCTED	AO B S D R UW K D IH D
BIRTHPLACE	B IY R T HH P L AH K IH
BIRTHPLACE	B AH R T HH P L AH K AH
BIRTHPLACE	B IY R D HH P L AH K IH
KEECHAWIK	K IH IH K HH AH W IY K
KEECHAWIK	K AH AH K HH AH W AH K
LETTUCE	L IH T T UW K IH
LETTUCE	L AH T T AH K AH
LETTUCE	L IH D D UW K IH
YUKON	Y UW K AO N
YUKON	Y AH K AH N
YAHKUK	Y AH HH K UW K
YAHKUK	Y AH HH K AH K
APENNINES	AH P IH N N IY N IH S
APENNINES	AH P AH N N AH N AH S
METEOROLOGICAL	M IH T IH AO R AO L AO G IY K AH L
METEOROLOGICAL	M AH T AH AH R AH L AH G AH K AH L
METEOROLOGICAL	M IH D IH AO R AO L AO G IY K AH L
BIRMINGHAM	B IY R M IY N G HH AH M
BIRMINGHAM	B AH R M AH N G HH AH M
HURRICANES	HH UW R R IY K AH N IH S
HURRICANES	HH AH R R AH K AH N AH S
ASSERTING	AH S S IH R T IY N G
ASSERTING	AH S S AH R T AH N G
ASSERTING	AH S S IH R D IY N G
NIXON	N IY K S AO N
NIXON	N AH K S AH N
STICKLEBACKS	S T IY K K L IH B AH K K S
STICKLEBACKS	S T AH K K L AH B AH K K S
STICKLEBACKS	S D IY K K L IH B AH K K S
GRAY'S	G R AH Y S
AARON	AH AH R AO N
AARON	AH AH R AH N
ACCEPTANCES	AH K K IH P T AH N K IH S
ACCEPTANCES	AH K K AH P T AH N K AH S
ACCEPTANCES	AH K K IH P D AH N K IH S
ATTRIBUTABLE	AH T T R IY B UW T AH B L IH
ATTRIBUTABLE	AH T T R AH B AH T AH B L AH
ATTRIBUTABLE	AH D D R IY B UW D AH B L IH
MORADABAD	M AO R AH D AH B AH D
MORADABAD	M AH R AH D AH B AH D
MORADABAD	M AO R AH D AH B AH T
FERIDPOOR	F IH R IY D P AO AO R
FERIDPOOR	F AH R AH D P AH AH R
DISREGARDING	D IY S R IH G AH R D IY N G
DISREGARDING	D AH S R AH G AH R D AH N G
TORRENTIAL	T AO R R IH N T IY AH L
TORRENTIAL	T AH R R AH N T AH AH L
TORRENTIAL	T AO R R IH N D IY AH L
PUTREFY	P UW T R IH F Y
PUTREFY	P AH T R AH F Y
PUTREFY	P UW D R IH F Y
ATMOSPHERIC	AH T M AO S P HH IH R IY K
ATMOSPHERIC	AH T M AH S P HH AH R AH K
ATMOSPHERIC	AH D M AO S P HH IH R IY K
BUIST	B UW IY S T
BUIST	B AH AH S T
HELTER	HH IH L T IH R
HELTER	HH AH L T AH R
HELTER	HH IH L D IH R
SKELTER	S K IH L T IH R
SKELTER	S K AH L T AH R
SKELTER	S K IH L D IH R
HINDON	HH IY N D AO N
HINDON	HH AH N D AH N
ACCURSED	AH K K UW R S IH D
ACCURSED	AH K K AH R S AH D
ACCURSED	AH K K UW R S IH T
TORNADO	T AO R N AH D AO
TORNADO	T AH R N AH D AH
SPRINKLE	S P R IY N K L IH
SPRINKLE	S P R AH N K L AH
SPECIFY	S P IH K IY F Y
SPECIFY	S P AH K AH F Y
THEORETICALLY	TH IH AO R IH T IY K AH L L Y
THEORETICALLY	TH AH AH R AH T AH K AH L L Y
THEORETICALLY	TH IH AO R IH D IY K AH L L Y
ACCEPTS	AH K K IH P T S
ACCEPTS	AH K K AH P T S
ACCEPTS	AH K K IH P D S
CORRELATION	K AO R R IH L AH T IY AO N
CORRELATION	K AH R R AH L AH T AH AH N
CORRELATION	K AO R R IH L AH D IY AO N
EQUIVALENCE	IH K UW IY V AH L IH N K IH
EQUIVALENCE	AH K AH AH V AH L AH N K AH
IRRESPECTIVE	IY R R IH S P IH K T IY V IH
IRRESPECTIVE	AH R R AH S P AH K T AH V AH
IRRESPECTIVE	IY R R IH S P IH K D IY V IH
NEWTONIAN	N IH W T AO N IY AH N
NEWTONIAN	N AH W T AH N AH AH N
NEWTONIAN	N IH W D AO N IY AH N
HARMONIZES	HH AH R M AO N IY Z IH S
HARMONIZES	HH AH R M AH N AH Z AH S
SARGASSO	S AH R G AH S S AO
SARGASSO	S AH R G AH S S AH
IMMATURE	IY M M AH T UW R IH
IMMATURE	AH M M AH T AH R AH
IMMATURE	IY M M AH D UW R IH
STAGNATION	S T AH G N AH T IY AO N
STAGNATION	S T AH G N AH T AH AH N
STAGNATION	S D AH G N AH D IY AO N
HATFUL	HH AH T F UW L
HATFUL	HH AH T F AH L
HATFUL	HH AH D F UW L
APPROXIMATION	AH P P R AO K S IY M AH T IY AO N
APPROXIMATION	AH P P R AH K S AH M AH T AH AH N
APPROXIMATION	AH P P R AO K S IY M AH D IY AO N
INVESTIGATOR	IY N V IH S T IY G AH T AO R
INVESTIGATOR	AH N V AH S T AH G AH T AH R
INVESTIGATOR	IY N V IH S D IY G AH D AO R
WETTER	W IH T T IH R
WETTER	W AH T T AH R
WETTER	W IH D D IH R
CONCEIVABLY	K AO N K IH IY V AH B L Y
CONCEIVABLY	K AH N K AH AH V AH B L Y
SNATCHING	S N AH T K HH IY N G
SNATCHING	S N AH T K HH AH N G
SNATCHING	S N AH D K HH IY N G
WINGLESS	W IY N G L IH S S
WINGLESS	W AH N G L AH S S
FRILLS	F R IY L L S
FRILLS	F R AH L L S
SAUSAGE	S AH UW S AH G IH
SAUSAGE	S AH AH S AH G AH
GANGS	G AH N G S
CHECKER	CH IH K K IH R
CHECKER	CH AH K K AH R
REGISTERING	R IH G IY S T IH R IY N G
REGISTERING	R AH G AH S T AH R AH N G
REGISTERING	R IH G IY S D IH R IY N G
COPYING	K AO P Y IY N G
COPYING	K AH P Y AH N G
PLUGGING	P L UW G G IY N G
PLUGGING	P L AH G G AH N G
WRITER'S	W R IY T IH R S
WRITER'S	W R AH T AH R S
WRITER'S	W R IY D IH R S
OVERTIME	AO V IH R T IY M IH
OVERTIME	AH V AH R T AH M AH
OVERTIME	AO V IH R D IY M IH
WALLOWED	W AH L L AO W IH D
WALLOWED	W AH L L AH W AH D
WALLOWED	W AH L L AO W IH T
SALARIES	S AH L AH R IY IH S
SALARIES	S AH L AH R AH AH S
PHILANTHROPIST	P HH IY L AH N T HH R AO P IY S T
PHILANTHROPIST	P HH AH L AH N T HH R AH P AH S T
PHILANTHROPIST	P HH IY L AH N D HH R AO P IY S T
REFRESHMENTS	R IH F R IH S HH M IH N T S
REFRESHMENTS	R AH F R AH S HH M AH N T S
REFRESHMENTS	R IH F R IH S HH M IH N D S
TRANCE	T R AH N K IH
TRANCE	T R AH N K AH
SCALPS	S K AH L P S
PONE	P AO N IH
PONE	P AH N AH
PUYA	P UW Y AH
PUYA	P AH Y AH
REFILL	R IH F IY L L
REFILL	R AH F AH L L
UNGRATEFULLY	UW N G R AH T IH F UW L L Y
UNGRATEFULLY	AH N G R AH T AH F AH L L Y
UNGRATEFULLY	UW N G R AH D IH F UW L L Y
COMBINES	K AO M B IY N IH S
COMBINES	K AH M B AH N AH S
ORGANIZATIONS	AO R G AH N IY Z AH T IY AO N S
ORGANIZATIONS	AH R G AH N AH Z AH T AH AH N S
ORGANIZATIONS	AO R G AH N IY Z AH D IY AO N S
HUB	HH UW B
RAIDERS	R AH IY D IH R S
RAIDERS	R AH AH D AH R S
TERRORISM	T IH R R AO R IY S M
TERRORISM	T AH R R AH R AH S M
MANAGEABLE	M AH N AH G IH AH B L IH
MANAGEABLE	M AH N AH G AH AH B L AH
PERSONNEL	P IH R S AO N N IH L
PERSONNEL	P AH R S AH N N AH L
COHEN	K AO HH IH N
COHEN	K AH HH AH N
WHITCOMB	W HH IY T K AO M B
WHITCOMB	W HH AH T K AH M B
WHITCOMB	W HH IY D K AO M B
ELLA	IH L L AH
ELLA	AH L L AH
FINDEISEN	F IY N D IH IY S IH N
FINDEISEN	F AH N D AH AH S AH N
KENT	K IH N T
KENT	K AH N T
GRAM	G R AH M
QUAY	K UW AH Y
QUAY	K AH AH Y
ROBERTSON	R AO B IH R T S AO N
ROBERTSON	R AH B AH R T S AH N
ROBERTSON	R AO B IH R D S AO N
COLORADO	K AO L AO R AH D AO
COLORADO	K AH L AH R AH D AH
INDIANAPOLIS	IY N D IY AH N AH P AO L IY S
INDIANAPOLIS	AH N D AH AH N AH P AH L AH S
STAFFORD	S T AH F F AO R D
STAFFORD	S T AH F F AH R D
STAFFORD	S T AH F F AO R T
STAFFORD	S D AH F F AO R D
EMORY	IH M AO R Y
EMORY	AH M AH R Y
JACKSONVILLE	JH AH K K S AO N V IY L L IH
JACKSONVILLE	JH AH K K S AH N V AH L L AH
ILLOGICALLY	IY L L AO G IY K AH L L Y
ILLOGICALLY	AH L L AH G AH K AH L L Y
SUFFRAGISTS	S UW F F R AH G IY S T S
SUFFRAGISTS	S AH F F R AH G AH S T S
SUFFRAGISTS	S UW F F R AH G IY S D S
HINTING	HH IY N T IY N G
HINTING	HH AH N T AH N G
HINTING	HH IY N D IY N G
SUFFRAGER	S UW F F R AH G IH R
SUFFRAGER	S AH F F R AH G AH R
WHITTAKER'S	W HH IY T T AH K IH R S
WHITTAKER'S	W HH AH T T AH K AH R S
WHITTAKER'S	W HH IY D D AH K IH R S
COMMITMENT	K AO M M IY T M IH N T
COMMITMENT	K AH M M AH T M AH N T
COMMITMENT	K AO M M IY D M IH N T
OUTSTRIP	AO UW T S T R IY P
OUTSTRIP	AH AH T S T R AH P
OUTSTRIP	AO UW D S D R IY P
BLACKEST	B L AH K K IH S T
BLACKEST	B L AH K K AH S T
DOROTHY	D AO R AO T HH Y
DOROTHY	D AH R AH T HH Y
DOROTHY	D AO R AO D HH Y
BRUTALLY	B R UW T AH L L Y
BRUTALLY	B R AH T AH L L Y
BRUTALLY	B R UW D AH L L Y
BANGING	B AH N G IY N G
BANGING	B AH N G AH N G
CLANGING	K L AH N G IY N G
CLANGING	K L AH N G AH N G
SKIMMED	S K IY M M IH D
SKIMMED	S K AH M M AH D
SKIMMED	S K IY M M IH T
COGNIZANT	K AO G N IY Z AH N T
COGNIZANT	K AH G N AH Z AH N T
MAINMAST	M AH IY N M AH S T
MAINMAST	M AH AH N M AH S T
CHEAPER	CH IH AH P IH R
CHEAPER	CH AH AH P AH R
DISTEMPERED	D IY S T IH M P IH R IH D
DISTEMPERED	D AH S T AH M P AH R AH D
DISTEMPERED	D IY S T IH M P IH R IH T
DISTEMPERED	D IY S D IH M P IH R IH D
STRAITENED	S T R AH IY T IH N IH D
STRAITENED	S T R AH AH T AH N AH D
STRAITENED	S T R AH IY T IH N IH T
STRAITENED	S D R AH IY D IH N IH D
PALLET	P AH L L IH T
PALLET	P AH L L AH T
ABATING	AH B AH T IY N G
ABATING	AH B AH T AH N G
ABATING	AH B AH D IY N G
INVIOLABLE	IY N V IY AO L AH B L IH
INVIOLABLE	AH N V AH AH L AH B L AH
PRACTITIONERS	P R AH K T IY T IY AO N IH R S
PRACTITIONERS	P R AH K T AH T AH AH N AH R S
PRACTITIONERS	P R AH K D IY D IY AO N IH R S
BRAWNY	B R AH W N Y
PUG	P UW G
QUELLED	K UW IH L L IH D
QUELLED	K AH AH L L AH D
QUELLED	K UW IH L L IH T
QUELL	K UW IH L L
QUELL	K AH AH L L
SESSIONS	S IH S S IY AO N S
SESSIONS	S AH S S AH AH N S
BLOODED	B L AO AO D IH D
BLOODED	B L AH AH D AH D
BLOODED	B L AO AO D IH T
ALLOY	AH L L AO Y
ALLOY	AH L L AH Y
AMUCK	AH M UW K K
AMUCK	AH M AH K K
BROWED	B R AO W IH D
BROWED	B R AH W AH D
BROWED	B R AO W IH T
MARINER	M AH R IY N IH R
MARINER	M AH R AH N AH R
BEDRAGGLED	B IH D R AH G G L IH D
BEDRAGGLED	B AH D R AH G G L AH D
BEDRAGGLED	B IH D R AH G G L IH T
BUCCANEERING	B UW K K AH N IH IH R IY N G
BUCCANEERING	B AH K K AH N AH AH R AH N G
PROVOKING	P R AO V AO K IY N G
PROVOKING	P R AH V AH K AH N G
OVERT	AO V IH R T
OVERT	AH V AH R T
RIGGING	R IY G G IY N G
RIGGING	R AH G G AH N G
PILLAGE	P IY L L AH G IH
PILLAGE	P AH L L AH G AH
UNSUSPECTING	UW N S UW S P IH K T IY N G
UNSUSPECTING	AH N S AH S P AH K T AH N G
UNSUSPECTING	UW N S UW S P IH K D IY N G
LIFELIKE	L IY F IH L IY K IH
LIFELIKE	L AH F AH L AH K AH
FANNED	F AH N N IH D
FANNED	F AH N N AH D
FANNED	F AH N N IH T
SENSUAL	S IH N S UW AH L
SENSUAL	S AH N S AH AH L
TORMENTING	T AO R M IH N T IY N G
TORMENTING	T AH R M AH N T AH N G
TORMENTING	T AO R M IH N D IY N G
HOVER	HH AO V IH R
HOVER	HH AH V AH R
DALES	D AH L IH S
DALES	D AH L AH S
MISUNDERSTANDINGS	M IY S UW N D IH R S T AH N D IY N G S
MISUNDERSTANDINGS	M AH S AH N D AH R S T AH N D AH N G S
MISUNDERSTANDINGS	M IY S UW N D IH R S D AH N D IY N G S
MANIFOLD	M AH N IY F AO L D
MANIFOLD	M AH N AH F AH L D
MANIFOLD	M AH N IY F AO L T
ABOLISHING	AH B AO L IY S HH IY N G
ABOLISHING	AH B AH L AH S HH AH N G
INFLEXIBLY	IY N F L IH K S IY B L Y
INFLEXIBLY	AH N F L AH K S AH B L Y
INSERTING	IY N S IH R T IY N G
INSERTING	AH N S AH R T AH N G
INSERTING	IY N S IH R D IY N G
DITHYRAMBIC	D IY T HH Y R AH M B IY K
DITHYRAMBIC	D AH T HH Y R AH M B AH K
DITHYRAMBIC	D IY D HH Y R AH M B IY K
EVANESCENT	IH V AH N IH S K IH N T
EVANESCENT	AH V AH N AH S K AH N T
INNERMOST	IY N N IH R M AO S T
INNERMOST	AH N N AH R M AH S T
HARSHEST	HH AH R S HH IH S T
HARSHEST	HH AH R S HH AH S T
WEDLOCK	W IH D L AO K K
WEDLOCK	W AH D L AH K K
PROFOUNDEST	P R AO F AO UW N D IH S T
PROFOUNDEST	P R AH F AH AH N D AH S T
WITTY	W IY T T Y
WITTY	W AH T T Y
WITTY	W IY D D Y
COMPRISING	K AO M P R IY S IY N G
COMPRISING	K AH M P R AH S AH N G
SORCERER	S AO R K IH R IH R
SORCERER	S AH R K AH R AH R
REASSUMED	R IH AH S S UW M IH D
REASSUMED	R AH AH S S AH M AH D
REASSUMED	R IH AH S S UW M IH T
ENTICE	IH N T IY K IH
ENTICE	AH N T AH K AH
ENTICE	IH N D IY K IH
ACME	AH K M IH
ACME	AH K M AH
UNENDING	UW N IH N D IY N G
UNENDING	AH N AH N D AH N G
UNATTAINABLE	UW N AH T T AH IY N AH B L IH
UNATTAINABLE	AH N AH T T AH AH N AH B L AH
UNATTAINABLE	UW N AH D D AH IY N AH B L IH
MADONNA	M AH D AO N N AH
MADONNA	M AH D AH N N AH
YEARNED	Y IH AH R N IH D
YEARNED	Y AH AH R N AH D
YEARNED	Y IH AH R N IH T
POETICALLY	P AO IH T IY K AH L L Y
POETICALLY	P AH AH T AH K AH L L Y
POETICALLY	P AO IH D IY K AH L L Y
BRADEMAGUS	B R AH D IH M AH G UW S
BRADEMAGUS	B R AH D AH M AH G AH S
SMITTEN	S M IY T T IH N
SMITTEN	S M AH T T AH N
SMITTEN	S M IY D D IH N
RESCUING	R IH S K UW IY N G
RESCUING	R AH S K AH AH N G
GAWAIN	G AH W AH IY N
GAWAIN	G AH W AH AH N
CONSIGNED	K AO N S IY G N IH D
CONSIGNED	K AH N S AH G N AH D
CONSIGNED	K AO N S IY G N IH T
TURRETS	T UW R R IH T S
TURRETS	T AH R R AH T S
TURRETS	T UW R R IH D S
PLEASANTRY	P L IH AH S AH N T R Y
PLEASANTRY	P L AH AH S AH N T R Y
PLEASANTRY	P L IH AH S AH N D R Y
ENFEEBLED	IH N F IH IH B L IH D
ENFEEBLED	AH N F AH AH B L AH D
ENFEEBLED	IH N F IH IH B L IH T
DISGRACEFULLY	D IY S G R AH K IH F UW L L Y
DISGRACEFULLY	D AH S G R AH K AH F AH L L Y
SKILFUL	S K IY L F UW L
SKILFUL	S K AH L F AH L
JEER	JH IH IH R
JEER	JH AH AH R
FOOTNOTE	F AO AO T N AO T IH
FOOTNOTE	F AH AH T N AH T AH
FOOTNOTE	F AO AO D N AO D IH
MIEN	M IY IH N
MIEN	M AH AH N
OVERTHROWN	AO V IH R T HH R AO W N
OVERTHROWN	AH V AH R T HH R AH W N
OVERTHROWN	AO V IH R D HH R AO W N
UNFASTENED	UW N F AH S T IH N IH D
UNFASTENED	AH N F AH S T AH N AH D
UNFASTENED	UW N F AH S T IH N IH T
UNFASTENED	UW N F AH S D IH N IH D
VASSAL	V AH S S AH L
PECHEUR	P IH K HH IH UW R
PECHEUR	P AH K HH AH AH R
SOLICIT	S AO L IY K IY T
SOLICIT	S AH L AH K AH T
KINSMEN	K IY N S M IH N
KINSMEN	K AH N S M AH N
DINSMORE'S	D IY N S M AO R IH S
DINSMORE'S	D AH N S M AH R AH S
ENCOURAGINGLY	IH N K AO UW R AH G IY N G L Y
ENCOURAGINGLY	AH N K AH AH R AH G AH N G L Y
FORGAVE	F AO R G AH V IH
FORGAVE	F AH R G AH V AH
ROSELANDS	R AO S IH L AH N D S
ROSELANDS	R AH S AH L AH N D S
TEMPERS	T IH M P IH R S
TEMPERS	T AH M P AH R S
SLOVENLY	S L AO V IH N L Y
SLOVENLY	S L AH V AH N L Y
UNFAVORABLE	UW N F AH V AO R AH B L IH
UNFAVORABLE	AH N F AH V AH R AH B L AH
STEVENS	S T IH V IH N S
STEVENS	S T AH V AH N S
STEVENS	S D IH V IH N S
SAFEGUARD	S AH F IH G UW AH R D
SAFEGUARD	S AH F AH G AH AH R D
SAFEGUARD	S AH F IH G UW AH R T
TAPERS	T AH P IH R S
TAPERS	T AH P AH R S
EVASION	IH V AH S IY AO N
EVASION	AH V AH S AH AH N
PORTAL	P AO R T AH L
PORTAL	P AH R T AH L
PORTAL	P AO R D AH L
WHIRLPOOL	W HH IY R L P AO AO L
WHIRLPOOL	W HH AH R L P AH AH L
GLINT	G L IY N T
GLINT	G L AH N T
DULLY	D UW L L Y
DULLY	D AH L L Y
MING'S	M IY N G S
MING'S	M AH N G S
DIKE	D IY K IH
DIKE	D AH K AH
DRILLING	D R IY L L IY N G
DRILLING	D R AH L L AH N G
PHOSPHORESCENT	P HH AO S P HH AO R IH S K IH N T
PHOSPHORESCENT	P HH AH S P HH AH R AH S K AH N T
SENSED	S IH N S IH D
SENSED	S AH N S AH D
SENSED	S IH N S IH T
EERY	IH IH R Y
EERY	AH AH R Y
VALLEY'S	V AH L L IH Y S
VALLEY'S	V AH L L AH Y S
VOMITED	V AO M IY T IH D
VOMITED	V AH M AH T AH D
VOMITED	V AO M IY T IH T
VOMITED	V AO M IY D IH D
CUBES	K UW B IH S
CUBES	K AH B AH S
GEOMETRIC	G IH AO M IH T R IY K
GEOMETRIC	G AH AH M AH T R AH K
GEOMETRIC	G IH AO M IH D R IY K
PRODIGY	P R AO D IY G Y
PRODIGY	P R AH D AH G Y
FLEXING	F L IH K S IY N G
FLEXING	F L AH K S AH N G
SICKENED	S IY K K IH N IH D
SICKENED	S AH K K AH N AH D
SICKENED	S IY K K IH N IH T
FLAIL	F L AH IY L
FLAIL	F L AH AH L
TOLL	T AO L L
TOLL	T AH L L
TWOS	T W AO S
TWOS	T W AH S
TRIPOD	T R IY P AO D
TRIPOD	T R AH P AH D
TRIPOD	T R IY P AO T
APEX	AH P IH K S
APEX	AH P AH K S
TENTACLE	T IH N T AH K L IH
TENTACLE	T AH N T AH K L AH
TENTACLE	T IH N D AH K L IH
PLAYFULNESS	P L AH Y F UW L N IH S S
PLAYFULNESS	P L AH Y F AH L N AH S S
DRAKE'S	D R AH K IH S
DRAKE'S	D R AH K AH S
CLUSTERED	K L UW S T IH R IH D
CLUSTERED	K L AH S T AH R AH D
CLUSTERED	K L UW S T IH R IH T
CLUSTERED	K L UW S D IH R IH D
TOTTERED	T AO T T IH R IH D
TOTTERED	T AH T T AH R AH D
TOTTERED	T AO T T IH R IH T
TOTTERED	T AO D D IH R IH D
DAZEDLY	D AH Z IH D L Y
DAZEDLY	D AH Z AH D L Y
HIMALAYAS	HH IY M AH L AH Y AH S
HIMALAYAS	HH AH M AH L AH Y AH S
SURGES	S UW R G IH S
SURGES	S AH R G AH S
NUDITY	N UW D IY T Y
NUDITY	N AH D AH T Y
NUDITY	N UW D IY D Y
PITEOUSNESS	P IY T IH AO UW S N IH S S
PITEOUSNESS	P AH T AH AH AH S N AH S S
PITEOUSNESS	P IY D IH AO UW S N IH S S
BLOSSOMING	B L AO S S AO M IY N G
BLOSSOMING	B L AH S S AH M AH N G
RECOILED	R IH K AO IY L IH D
RECOILED	R AH K AH AH L AH D
RECOILED	R IH K AO IY L IH T
CLEFT	K L IH F T
CLEFT	K L AH F T
RIFT	R IY F T
RIFT	R AH F T
PURGED	P UW R G IH D
PURGED	P AH R G AH D
PURGED	P UW R G IH T
PORTRESS	P AO R T R IH S S
PORTRESS	P AH R T R AH S S
PORTRESS	P AO R D R IH S S
SOFAS	S AO F AH S
SOFAS	S AH F AH S
PENDENT	P IH N D IH N T
PENDENT	P AH N D AH N T
INVENTORY	IY N V IH N T AO R Y
INVENTORY	AH N V AH N T AH R Y
INVENTORY	IY N V IH N D AO R Y
SHRUBBERIES	SH R UW B B IH R IY IH S
SHRUBBERIES	SH R AH B B AH R AH AH S
WARILY	W AH R IY L Y
WARILY	W AH R AH L Y
ANNUM	AH N N UW M
ANNUM	AH N N AH M
EVINCED	IH V IY N K IH D
EVINCED	AH V AH N K AH D
EVINCED	IH V IY N K IH T
SELFSAME	S IH L F S AH M IH
SELFSAME	S AH L F S AH M AH
BLUEBERRY	B L UW IH B IH R R Y
BLUEBERRY	B L AH AH B AH R R Y
LOAM	L AO AH M
LOAM	L AH AH M
UNTIE	UW N T IY IH
UNTIE	AH N T AH AH
UNTIE	UW N D IY IH
BURROWING	B UW R R AO W IY N G
BURROWING	B AH R R AH W AH N G
KETCH	K IH T K HH
KETCH	K AH T K HH
KETCH	K IH D K HH
DRAM	D R AH M
GENTLER	G IH N T L IH R
GENTLER	G AH N T L AH R
GENTLER	G IH N D L IH R
SPIRAL	S P IY R AH L
SPIRAL	S P AH R AH L
HAW	HH AH W
WHITTLED	W HH IY T T L IH D
WHITTLED	W HH AH T T L AH D
WHITTLED	W HH IY T T L IH T
WHITTLED	W HH IY D D L IH D
SCUDDING	S K UW D D IY N G
SCUDDING	S K AH D D AH N G
GROOVE	G R AO AO V IH
GROOVE	G R AH AH V AH
CAREERING	K AH R IH IH R IY N G
CAREERING	K AH R AH AH R AH N G
KINGSTOWN	K IY N G S T AO W N
KINGSTOWN	K AH N G S T AH W N
KINGSTOWN	K IY N G S D AO W N
MOTORING	M AO T AO R IY N G
MOTORING	M AH T AH R AH N G
MOTORING	M AO D AO R IY N G
COVERTLY	K AO V IH R T L Y
COVERTLY	K AH V AH R T L Y
COVERTLY	K AO V IH R D L Y
PIANIST	P IY AH N IY S T
PIANIST	P AH AH N AH S T
DEFT	D IH F T
DEFT	D AH F T
JIMMY'S	JH IY M M Y S
JIMMY'S	JH AH M M Y S
NUDGES	N UW D G IH S
NUDGES	N AH D G AH S
INHERITOR	IY N HH IH R IY T AO R
INHERITOR	AH N HH AH R AH T AH R
INHERITOR	IY N HH IH R IY D AO R
FREAK	F R IH AH K
FREAK	F R AH AH K
LORDLY	L AO R D L Y
LORDLY	L AH R D L Y
MOTORISTS	M AO T AO R IY S T S
MOTORISTS	M AH T AH R AH S T S
MOTORISTS	M AO D AO R IY S D S
SNORTING	S N AO R T IY N G
SNORTING	S N AH R T AH N G
SNORTING	S N AO R D IY N G
SEGOUIN'S	S IH G AO UW IY N S
SEGOUIN'S	S AH G AH AH AH N S
GRAFTON	G R AH F T AO N
GRAFTON	G R AH F T AH N
GRAFTON	G R AH F D AO N
TWINED	T W IY N IH D
TWINED	T W AH N AH D
TWINED	T W IY N IH T
ENGLISHMAN'S	IH N G L IY S HH M AH N S
ENGLISHMAN'S	AH N G L AH S HH M AH N S
SIGNIFICANTLY	S IY G N IY F IY K AH N T L Y
SIGNIFICANTLY	S AH G N AH F AH K AH N T L Y
SIGNIFICANTLY	S IY G N IY F IY K AH N D L Y
DEVISING	D IH V IY S IY N G
DEVISING	D AH V AH S AH N G
BUNDLED	B UW N D L IH D
BUNDLED	B AH N D L AH D
BUNDLED	B UW N D L IH T
HOPPERSON	HH AO P P IH R S AO N
HOPPERSON	HH AH P P AH R S AH N
DAFT	D AH F T
LEVITY	L IH V IY T Y
LEVITY	L AH V AH T Y
LEVITY	L IH V IY D Y
CURMUDGEON	K UW R M UW D G IH AO N
CURMUDGEON	K AH R M AH D G AH AH N
GAUGES	G AH UW G IH S
GAUGES	G AH AH G AH S
BOOKSTORE	B AO AO K S T AO R IH
BOOKSTORE	B AH AH K S T AH R AH
BOOKSTORE	B AO AO K S D AO R IH
EVERLASTINGLY	IH V IH R L AH S T IY N G L Y
EVERLASTINGLY	AH V AH R L AH S T AH N G L Y
EVERLASTINGLY	IH V IH R L AH S D IY N G L Y
PRAISING	P R AH IY S IY N G
PRAISING	P R AH AH S AH N G
SELLERS	S IH L L IH R S
SELLERS	S AH L L AH R S
HICKS	HH IY K K S
HICKS	HH AH K K S
STAMPS	S T AH M P S
STAMPS	S D AH M P S
PANTALOONS	P AH N T AH L AO AO N S
PANTALOONS	P AH N T AH L AH AH N S
PANTALOONS	P AH N D AH L AO AO N S
WARDROBES	W AH R D R AO B IH S
WARDROBES	W AH R D R AH B AH S
INJUNS	IY N JH UW N S
INJUNS	AH N JH AH N S
SINFUL	S IY N F UW L
SINFUL	S AH N F AH L
QUACK	K UW AH K K
QUACK	K AH AH K K
ABSOLUTION	AH B S AO L UW T IY AO N
ABSOLUTION	AH B S AH L AH T AH AH N
ABSOLUTION	AH B S AO L UW D IY AO N
FRANCESCO	F R AH N K IH S K AO
FRANCESCO	F R AH N K AH S K AH
FEVERED	F IH V IH R IH D
FEVERED	F AH V AH R AH D
FEVERED	F IH V IH R IH T
VIGILS	V IY G IY L S
VIGILS	V AH G AH L S
