<SIL>	SIL
SHORTLY	G_S G_H G_O G_R G_T G_L G_Y
SHOT	G_S G_H G_O G_T
SHOULD	G_S G_H G_O G_U G_L G_D
SHOULDER	G_S G_H G_O G_U G_L G_D G_E G_R
SHOULDERED	G_S G_H G_O G_U G_L G_D G_E G_R G_E G_D
SHOULDERS	G_S G_H G_O G_U G_L G_D G_E G_R G_S
SHOULDN'T	G_S G_H G_O G_U G_L G_D G_N G_T
SHOULDST	G_S G_H G_O G_U G_L G_D G_S G_T
SHOUT	G_S G_H G_O G_U G_T
SHOUTED	G_S G_H G_O G_U G_T G_E G_D
SHOUTING	G_S G_H G_O G_U G_T G_I G_N G_G
SHOUTS	G_S G_H G_O G_U G_T G_S
SHOW	G_S G_H G_O G_W
SHOWED	G_S G_H G_O G_W G_E G_D
SHOWERED	G_S G_H G_O G_W G_E G_R G_E G_D
SHOWING	G_S G_H G_O G_W G_I G_N G_G
SHOWN	G_S G_H G_O G_W G_N
SHOWS	G_S G_H G_O G_W G_S
SHREDDED	G_S G_H G_R G_E G_D G_D G_E G_D
SHREWDNESS	G_S G_H G_R G_E G_W G_D G_N G_E G_S G_S
SHRIEKS	G_S G_H G_R G_I G_E G_K G_S
SHRILL	G_S G_H G_R G_I G_L G_L
SHRILLY	G_S G_H G_R G_I G_L G_L G_Y
SHRIMPS	G_S G_H G_R G_I G_M G_P G_S
SHRUG	G_S G_H G_R G_U G_G
SHRUGGED	G_S G_H G_R G_U G_G G_G G_E G_D
SHUFFLING	G_S G_H G_U G_F G_F G_L G_I G_N G_G
SHUT	G_S G_H G_U G_T
SHUTS	G_S G_H G_U G_T G_S
SIBYL	G_S G_I G_B G_Y G_L
SICK	G_S G_I G_C G_K
SICKENING	G_S G_I G_C G_K G_E G_N G_I G_N G_G
SICKNESS	G_S G_I G_C G_K G_N G_E G_S G_S
SID	G_S G_I G_D
SIDE	G_S G_I G_D G_E
SIDELONG	G_S G_I G_D G_E G_L G_O G_N G_G
SIDES	G_S G_I G_D G_E G_S
SIDEWAYS	G_S G_I G_D G_E G_W G_A G_Y G_S
SIERRA	G_S G_I G_E G_R G_R G_A
SIFTED	G_S G_I G_F G_T G_E G_D
SIGH	G_S G_I G_G G_H
SIGHED	G_S G_I G_G G_H G_E G_D
SIGHS	G_S G_I G_G G_H G_S
SIGHT	G_S G_I G_G G_H G_T
SIGHTED	G_S G_I G_G G_H G_T G_E G_D
SIGHTS	G_S G_I G_G G_H G_T G_S
SIGN	G_S G_I G_G G_N
SIGNAL	G_S G_I G_G G_N G_A G_L
SIGNALIZES	G_S G_I G_G G_N G_A G_L G_I G_Z G_E G_S
SIGNIFICATIONS	G_S G_I G_G G_N G_I G_F G_I G_C G_A G_T G_I G_O G_N G_S
SIGNS	G_S G_I G_G G_N G_S
SILENCE	G_S G_I G_L G_E G_N G_C G_E
SILENCED	G_S G_I G_L G_E G_N G_C G_E G_D
SILENT	G_S G_I G_L G_E G_N G_T
SILENTLY	G_S G_I G_L G_E G_N G_T G_L G_Y
SILK	G_S G_I G_L G_K
SILLY	G_S G_I G_L G_L G_Y
SILVER	G_S G_I G_L G_V G_E G_R
SILVERY	G_S G_I G_L G_V G_E G_R G_Y
SIMILAR	G_S G_I G_M G_I G_L G_A G_R
SIMILARITY	G_S G_I G_M G_I G_L G_A G_R G_I G_T G_Y
SIMILES	G_S G_I G_M G_I G_L G_E G_S
SIMMER	G_S G_I G_M G_M G_E G_R
SIMMONDS	G_S G_I G_M G_M G_O G_N G_D G_S
SIMPLE	G_S G_I G_M G_P G_L G_E
SIMPLETON	G_S G_I G_M G_P G_L G_E G_T G_O G_N
SIMPLIFY	G_S G_I G_M G_P G_L G_I G_F G_Y
SIMPLY	G_S G_I G_M G_P G_L G_Y
SIMULTANEOUSNESS	G_S G_I G_M G_U G_L G_T G_A G_N G_E G_O G_U G_S G_N G_E G_S G_S
SIN	G_S G_I G_N
SINCE	G_S G_I G_N G_C G_E
SINCERE	G_S G_I G_N G_C G_E G_R G_E
SINCERELY	G_S G_I G_N G_C G_E G_R G_E G_L G_Y
SINCERITY	G_S G_I G_N G_C G_E G_R G_I G_T G_Y
SINEWY	G_S G_I G_N G_E G_W G_Y
SINFUL	G_S G_I G_N G_F G_U G_L
SING	G_S G_I G_N G_G
SINGER	G_S G_I G_N G_G G_E G_R
SINGING	G_S G_I G_N G_G G_I G_N G_G
SINGLE	G_S G_I G_N G_G G_L G_E
SINGLY	G_S G_I G_N G_G G_L G_Y
SINGULAR	G_S G_I G_N G_G G_U G_L G_A G_R
SINS	G_S G_I G_N G_S
SIOUX	G_S G_I G_O G_U G_X
SIPPET	G_S G_I G_P G_P G_E G_T
SIPPETS	G_S G_I G_P G_P G_E G_T G_S
SIR	G_S G_I G_R
SISTER	G_S G_I G_S G_T G_E G_R
SISTER'S	G_S G_I G_S G_T G_E G_R G_S
SISTERS	G_S G_I G_S G_T G_E G_R G_S
SIT	G_S G_I G_T
SITE	G_S G_I G_T G_E
SITS	G_S G_I G_T G_S
SITTER	G_S G_I G_T G_T G_E G_R
SITTING	G_S G_I G_T G_T G_I G_N G_G
SITUATED	G_S G_I G_T G_U G_A G_T G_E G_D
SITUATION	G_S G_I G_T G_U G_A G_T G_I G_O G_N
SIX	G_S G_I G_X
SIXTEEN	G_S G_I G_X G_T G_E G_E G_N
SIXTY	G_S G_I G_X G_T G_Y
SIZE	G_S G_I G_Z G_E
SIZED	G_S G_I G_Z G_E G_D
SIZZLED	G_S G_I G_Z G_Z G_L G_E G_D
SKELLY	G_S G_K G_E G_L G_L G_Y
SKETCHES	G_S G_K G_E G_T G_C G_H G_E G_S
SKIES	G_S G_K G_I G_E G_S
SKILL	G_S G_K G_I G_L G_L
SKIN	G_S G_K G_I G_N
SKINNY	G_S G_K G_I G_N G_N G_Y
SKINT	G_S G_K G_I G_N G_T
SKIPPING	G_S G_K G_I G_P G_P G_I G_N G_G
SKIRMISH	G_S G_K G_I G_R G_M G_I G_S G_H
SKIRTS	G_S G_K G_I G_R G_T G_S
SKY	G_S G_K G_Y
SLACK	G_S G_L G_A G_C G_K
SLAIN	G_S G_L G_A G_I G_N
SLAKED	G_S G_L G_A G_K G_E G_D
SLANT	G_S G_L G_A G_N G_T
SLAP	G_S G_L G_A G_P
SLAPS	G_S G_L G_A G_P G_S
SLATER	G_S G_L G_A G_T G_E G_R
SLAUGHTER	G_S G_L G_A G_U G_G G_H G_T G_E G_R
SLAVE	G_S G_L G_A G_V G_E
SLAVERY	G_S G_L G_A G_V G_E G_R G_Y
SLAVES	G_S G_L G_A G_V G_E G_S
SLEDGE	G_S G_L G_E G_D G_G G_E
SLEDGES	G_S G_L G_E G_D G_G G_E G_S
SLEEP	G_S G_L G_E G_E G_P
SLEEPING	G_S G_L G_E G_E G_P G_I G_N G_G
SLEEPLESS	G_S G_L G_E G_E G_P G_L G_E G_S G_S
SLEEPS	G_S G_L G_E G_E G_P G_S
SLEEPY	G_S G_L G_E G_E G_P G_Y
SLEEVE	G_S G_L G_E G_E G_V G_E
SLEEVED	G_S G_L G_E G_E G_V G_E G_D
SLENDER	G_S G_L G_E G_N G_D G_E G_R
SLEPT	G_S G_L G_E G_P G_T
SLICE	G_S G_L G_I G_C G_E
SLICED	G_S G_L G_I G_C G_E G_D
SLICES	G_S G_L G_I G_C G_E G_S
SLID	G_S G_L G_I G_D
SLIDING	G_S G_L G_I G_D G_I G_N G_G
SLIGHT	G_S G_L G_I G_G G_H G_T
SLIGHTEST	G_S G_L G_I G_G G_H G_T G_E G_S G_T
SLIGHTLY	G_S G_L G_I G_G G_H G_T G_L G_Y
SLIPPED	G_S G_L G_I G_P G_P G_E G_D
SLIPPERS	G_S G_L G_I G_P G_P G_E G_R G_S
SLITS	G_S G_L G_I G_T G_S
SLOPE	G_S G_L G_O G_P G_E
SLOPES	G_S G_L G_O G_P G_E G_S
SLOPING	G_S G_L G_O G_P G_I G_N G_G
SLOW	G_S G_L G_O G_W
SLOWLY	G_S G_L G_O G_W G_L G_Y
SLUICING	G_S G_L G_U G_I G_C G_I G_N G_G
SLUMBERS	G_S G_L G_U G_M G_B G_E G_R G_S
SLUNG	G_S G_L G_U G_N G_G
SLUSH	G_S G_L G_U G_S G_H
SLY	G_S G_L G_Y
SMALL	G_S G_M G_A G_L G_L
SMALLER	G_S G_M G_A G_L G_L G_E G_R
SMALLEST	G_S G_M G_A G_L G_L G_E G_S G_T
SMART	G_S G_M G_A G_R G_T
SMELL	G_S G_M G_E G_L G_L
SMELLED	G_S G_M G_E G_L G_L G_E G_D
SMELLING	G_S G_M G_E G_L G_L G_I G_N G_G
SMELLS	G_S G_M G_E G_L G_L G_S
SMELT	G_S G_M G_E G_L G_T
SMILAX	G_S G_M G_I G_L G_A G_X
SMILE	G_S G_M G_I G_L G_E
SMILED	G_S G_M G_I G_L G_E G_D
SMILES	G_S G_M G_I G_L G_E G_S
SMILING	G_S G_M G_I G_L G_I G_N G_G
SMITHY	G_S G_M G_I G_T G_H G_Y
SMOKE	G_S G_M G_O G_K G_E
SMOKED	G_S G_M G_O G_K G_E G_D
SMOKING	G_S G_M G_O G_K G_I G_N G_G
SMOOTH	G_S G_M G_O G_O G_T G_H
SMOOTHLY	G_S G_M G_O G_O G_T G_H G_L G_Y
SMOTE	G_S G_M G_O G_T G_E
SNAKE	G_S G_N G_A G_K G_E
SNAP	G_S G_N G_A G_P
SNAPPED	G_S G_N G_A G_P G_P G_E G_D
SNAPPING	G_S G_N G_A G_P G_P G_I G_N G_G
SNAPS	G_S G_N G_A G_P G_S
SNATCH	G_S G_N G_A G_T G_C G_H
SNATCHING	G_S G_N G_A G_T G_C G_H G_I G_N G_G
SNEFFELS	G_S G_N G_E G_F G_F G_E G_L G_S
SNELLINGS	G_S G_N G_E G_L G_L G_I G_N G_G G_S
SNIGGERED	G_S G_N G_I G_G G_G G_E G_R G_E G_D
SNORTS	G_S G_N G_O G_R G_T G_S
SNOW	G_S G_N G_O G_W
SNOWS	G_S G_N G_O G_W G_S
SNUGLY	G_S G_N G_U G_G G_L G_Y
SO	G_S G_O
SOAKED	G_S G_O G_A G_K G_E G_D
SOARING	G_S G_O G_A G_R G_I G_N G_G
SOB	G_S G_O G_B
SOBER	G_S G_O G_B G_E G_R
SOBS	G_S G_O G_B G_S
SOCIAL	G_S G_O G_C G_I G_A G_L
SOCIETY	G_S G_O G_C G_I G_E G_T G_Y
SOCRATES	G_S G_O G_C G_R G_A G_T G_E G_S
SODA	G_S G_O G_D G_A
SOFA	G_S G_O G_F G_A
SOFT	G_S G_O G_F G_T
SOFTER	G_S G_O G_F G_T G_E G_R
SOFTLY	G_S G_O G_F G_T G_L G_Y
SOFTNESS	G_S G_O G_F G_T G_N G_E G_S G_S
SOIL	G_S G_O G_I G_L
SOILS	G_S G_O G_I G_L G_S
SOJOURNED	G_S G_O G_J G_O G_U G_R G_N G_E G_D
SOLD	G_S G_O G_L G_D
SOLDIER	G_S G_O G_L G_D G_I G_E G_R
SOLDIERS	G_S G_O G_L G_D G_I G_E G_R G_S
SOLE	G_S G_O G_L G_E
SOLEMN	G_S G_O G_L G_E G_M G_N
SOLID	G_S G_O G_L G_I G_D
SOLITARY	G_S G_O G_L G_I G_T G_A G_R G_Y
SOLITUDE	G_S G_O G_L G_I G_T G_U G_D G_E
SOLUTION	G_S G_O G_L G_U G_T G_I G_O G_N
SOLVE	G_S G_O G_L G_V G_E
SOLVED	G_S G_O G_L G_V G_E G_D
SOLVING	G_S G_O G_L G_V G_I G_N G_G
SOMBRERO	G_S G_O G_M G_B G_R G_E G_R G_O
SOME	G_S G_O G_M G_E
SOMEBODY	G_S G_O G_M G_E G_B G_O G_D G_Y
SOMEBODY'S	G_S G_O G_M G_E G_B G_O G_D G_Y G_S
SOMEHOW	G_S G_O G_M G_E G_H G_O G_W
SOMEONE	G_S G_O G_M G_E G_O G_N G_E
SOMETHING	G_S G_O G_M G_E G_T G_H G_I G_N G_G
SOMETIMES	G_S G_O G_M G_E G_T G_I G_M G_E G_S
SOMEWHAT	G_S G_O G_M G_E G_W G_H G_A G_T
SOMEWHERE	G_S G_O G_M G_E G_W G_H G_E G_R G_E
SON	G_S G_O G_N
SONG	G_S G_O G_N G_G
SONGS	G_S G_O G_N G_G G_S
SONNET	G_S G_O G_N G_N G_E G_T
SONNETS	G_S G_O G_N G_N G_E G_T G_S
SONS	G_S G_O G_N G_S
SOON	G_S G_O G_O G_N
SOONER	G_S G_O G_O G_N G_E G_R
SOOTH	G_S G_O G_O G_T G_H
SOOTHING	G_S G_O G_O G_T G_H G_I G_N G_G
SOPHISTS	G_S G_O G_P G_H G_I G_S G_T G_S
SORCERY	G_S G_O G_R G_C G_E G_R G_Y
SORGHUM	G_S G_O G_R G_G G_H G_U G_M
SORROW	G_S G_O G_R G_R G_O G_W
SORROWFUL	G_S G_O G_R G_R G_O G_W G_F G_U G_L
SORROWS	G_S G_O G_R G_R G_O G_W G_S
SORRY	G_S G_O G_R G_R G_Y
SORT	G_S G_O G_R G_T
SORTS	G_S G_O G_R G_T G_S
SOUGHT	G_S G_O G_U G_G G_H G_T
SOUL	G_S G_O G_U G_L
SOULS	G_S G_O G_U G_L G_S
SOUND	G_S G_O G_U G_N G_D
SOUNDED	G_S G_O G_U G_N G_D G_E G_D
SOUNDING	G_S G_O G_U G_N G_D G_I G_N G_G
SOUNDLY	G_S G_O G_U G_N G_D G_L G_Y
SOUNDS	G_S G_O G_U G_N G_D G_S
SOUP	G_S G_O G_U G_P
SOUPS	G_S G_O G_U G_P G_S
SOUR	G_S G_O G_U G_R
SOURCE	G_S G_O G_U G_R G_C G_E
SOURCES	G_S G_O G_U G_R G_C G_E G_S
SOUTH	G_S G_O G_U G_T G_H
SOUTHERN	G_S G_O G_U G_T G_H G_E G_R G_N
SOUTHWARK	G_S G_O G_U G_T G_H G_W G_A G_R G_K
SOUTHWEST	G_S G_O G_U G_T G_H G_W G_E G_S G_T
SOW	G_S G_O G_W
SOWERBY	G_S G_O G_W G_E G_R G_B G_Y
SOYER	G_S G_O G_Y G_E G_R
SPACE	G_S G_P G_A G_C G_E
SPACIOUS	G_S G_P G_A G_C G_I G_O G_U G_S
SPADE	G_S G_P G_A G_D G_E
SPAIN	G_S G_P G_A G_I G_N
SPAKE	G_S G_P G_A G_K G_E
SPANGLES	G_S G_P G_A G_N G_G G_L G_E G_S
SPANISH	G_S G_P G_A G_N G_I G_S G_H
SPARE	G_S G_P G_A G_R G_E
SPARK	G_S G_P G_A G_R G_K
SPARKLING	G_S G_P G_A G_R G_K G_L G_I G_N G_G
SPARSE	G_S G_P G_A G_R G_S G_E
SPARTA	G_S G_P G_A G_R G_T G_A
SPEAK	G_S G_P G_E G_A G_K
SPEAKING	G_S G_P G_E G_A G_K G_I G_N G_G
SPEAKS	G_S G_P G_E G_A G_K G_S
SPEAR	G_S G_P G_E G_A G_R
SPECIAL	G_S G_P G_E G_C G_I G_A G_L
SPECIALISTS	G_S G_P G_E G_C G_I G_A G_L G_I G_S G_T G_S
SPECIALLY	G_S G_P G_E G_C G_I G_A G_L G_L G_Y
SPECIALTY	G_S G_P G_E G_C G_I G_A G_L G_T G_Y
SPECIES	G_S G_P G_E G_C G_I G_E G_S
SPECIOUS	G_S G_P G_E G_C G_I G_O G_U G_S
SPECTACLE	G_S G_P G_E G_C G_T G_A G_C G_L G_E
SPECTATOR	G_S G_P G_E G_C G_T G_A G_T G_O G_R
SPECTATORS	G_S G_P G_E G_C G_T G_A G_T G_O G_R G_S
SPECULATIVE	G_S G_P G_E G_C G_U G_L G_A G_T G_I G_V G_E
SPEECH	G_S G_P G_E G_E G_C G_H
SPEEDILY	G_S G_P G_E G_E G_D G_I G_L G_Y
SPEND	G_S G_P G_E G_N G_D
SPENT	G_S G_P G_E G_N G_T
SPHERE	G_S G_P G_H G_E G_R G_E
SPICE	G_S G_P G_I G_C G_E
SPIDERS	G_S G_P G_I G_D G_E G_R G_S
SPILTH	G_S G_P G_I G_L G_T G_H
SPINDLE	G_S G_P G_I G_N G_D G_L G_E
SPINNING	G_S G_P G_I G_N G_N G_I G_N G_G
SPIRIT	G_S G_P G_I G_R G_I G_T
SPIRITS	G_S G_P G_I G_R G_I G_T G_S
SPIRITUAL	G_S G_P G_I G_R G_I G_T G_U G_A G_L
SPIRITUALIZATION	G_S G_P G_I G_R G_I G_T G_U G_A G_L G_I G_Z G_A G_T G_I G_O G_N
SPIT	G_S G_P G_I G_T
SPITE	G_S G_P G_I G_T G_E
SPLENDID	G_S G_P G_L G_E G_N G_D G_I G_D
SPLENDOUR	G_S G_P G_L G_E G_N G_D G_O G_U G_R
SPLIT	G_S G_P G_L G_I G_T
SPOILS	G_S G_P G_O G_I G_L G_S
SPOKE	G_S G_P G_O G_K G_E
SPOKEN	G_S G_P G_O G_K G_E G_N
SPONGE	G_S G_P G_O G_N G_G G_E
SPONSA	G_S G_P G_O G_N G_S G_A
SPOOK	G_S G_P G_O G_O G_K
SPOON	G_S G_P G_O G_O G_N
SPOT	G_S G_P G_O G_T
SPOTS	G_S G_P G_O G_T G_S
SPOTTED	G_S G_P G_O G_T G_T G_E G_D
SPOUSE	G_S G_P G_O G_U G_S G_E
SPRANG	G_S G_P G_R G_A G_N G_G
SPRAWLING	G_S G_P G_R G_A G_W G_L G_I G_N G_G
SPREAD	G_S G_P G_R G_E G_A G_D
SPREADING	G_S G_P G_R G_E G_A G_D G_I G_N G_G
SPRING	G_S G_P G_R G_I G_N G_G
SPRINGS	G_S G_P G_R G_I G_N G_G G_S
SPRINKLE	G_S G_P G_R G_I G_N G_K G_L G_E
SPRINKLED	G_S G_P G_R G_I G_N G_K G_L G_E G_D
SPRINKLING	G_S G_P G_R G_I G_N G_K G_L G_I G_N G_G
SPRUCE	G_S G_P G_R G_U G_C G_E
SPRUCEWOOD	G_S G_P G_R G_U G_C G_E G_W G_O G_O G_D
SPUR	G_S G_P G_U G_R
SPURRED	G_S G_P G_U G_R G_R G_E G_D
SQUARE	G_S G_Q G_U G_A G_R G_E
SQUARES	G_S G_Q G_U G_A G_R G_E G_S
SQUASHES	G_S G_Q G_U G_A G_S G_H G_E G_S
SQUEEZE	G_S G_Q G_U G_E G_E G_Z G_E
SQUEEZED	G_S G_Q G_U G_E G_E G_Z G_E G_D
SQUINT	G_S G_Q G_U G_I G_N G_T
SQUIRES	G_S G_Q G_U G_I G_R G_E G_S
STAB	G_S G_T G_A G_B
STABLES	G_S G_T G_A G_B G_L G_E G_S
STACY	G_S G_T G_A G_C G_Y
STAFF	G_S G_T G_A G_F G_F
STAGE	G_S G_T G_A G_G G_E
STAGGERING	G_S G_T G_A G_G G_G G_E G_R G_I G_N G_G
STAINED	G_S G_T G_A G_I G_N G_E G_D
STAIR	G_S G_T G_A G_I G_R
STAIRCASE	G_S G_T G_A G_I G_R G_C G_A G_S G_E
STAIRS	G_S G_T G_A G_I G_R G_S
STAIRWAY	G_S G_T G_A G_I G_R G_W G_A G_Y
STAKED	G_S G_T G_A G_K G_E G_D
STALLS	G_S G_T G_A G_L G_L G_S
STAMPING	G_S G_T G_A G_M G_P G_I G_N G_G
STAND	G_S G_T G_A G_N G_D
STANDARD	G_S G_T G_A G_N G_D G_A G_R G_D
STANDARDS	G_S G_T G_A G_N G_D G_A G_R G_D G_S
STANDING	G_S G_T G_A G_N G_D G_I G_N G_G
STANDISH	G_S G_T G_A G_N G_D G_I G_S G_H
STANDS	G_S G_T G_A G_N G_D G_S
STANZA	G_S G_T G_A G_N G_Z G_A
STARE	G_S G_T G_A G_R G_E
STARED	G_S G_T G_A G_R G_E G_D
STARING	G_S G_T G_A G_R G_I G_N G_G
STARS	G_S G_T G_A G_R G_S
START	G_S G_T G_A G_R G_T
STARTED	G_S G_T G_A G_R G_T G_E G_D
STARTING	G_S G_T G_A G_R G_T G_I G_N G_G
STARTLED	G_S G_T G_A G_R G_T G_L G_E G_D
STATE	G_S G_T G_A G_T G_E
STATED	G_S G_T G_A G_T G_E G_D
STATEMENT	G_S G_T G_A G_T G_E G_M G_E G_N G_T
STATES	G_S G_T G_A G_T G_E G_S
STATION	G_S G_T G_A G_T G_I G_O G_N
STATIONMASTER	G_S G_T G_A G_T G_I G_O G_N G_M G_A G_S G_T G_E G_R
STATIONS	G_S G_T G_A G_T G_I G_O G_N G_S
STATUE	G_S G_T G_A G_T G_U G_E
STATUES	G_S G_T G_A G_T G_U G_E G_S
STATURE	G_S G_T G_A G_T G_U G_R G_E
STAY	G_S G_T G_A G_Y
STAYED	G_S G_T G_A G_Y G_E G_D
STAYING	G_S G_T G_A G_Y G_I G_N G_G
STEADFAST	G_S G_T G_E G_A G_D G_F G_A G_S G_T
STEADILY	G_S G_T G_E G_A G_D G_I G_L G_Y
STEADY	G_S G_T G_E G_A G_D G_Y
STEAL	G_S G_T G_E G_A G_L
STEAM	G_S G_T G_E G_A G_M
STEAMY	G_S G_T G_E G_A G_M G_Y
STEELY	G_S G_T G_E G_E G_L G_Y
STEEP	G_S G_T G_E G_E G_P
STEERING	G_S G_T G_E G_E G_R G_I G_N G_G
STEM	G_S G_T G_E G_M
STEP	G_S G_T G_E G_P
STEPHEN	G_S G_T G_E G_P G_H G_E G_N
STEPMOTHER	G_S G_T G_E G_P G_M G_O G_T G_H G_E G_R
STEPP'D	G_S G_T G_E G_P G_P G_D
STEPPED	G_S G_T G_E G_P G_P G_E G_D
STEPS	G_S G_T G_E G_P G_S
STEPT	G_S G_T G_E G_P G_T
STEREOS	G_S G_T G_E G_R G_E G_O G_S
STERLING	G_S G_T G_E G_R G_L G_I G_N G_G
STERN	G_S G_T G_E G_R G_N
STEVIE	G_S G_T G_E G_V G_I G_E
STEVIE'S	G_S G_T G_E G_V G_I G_E G_S
STEW	G_S G_T G_E G_W
STEWPAN	G_S G_T G_E G_W G_P G_A G_N
STICK	G_S G_T G_I G_C G_K
STICKING	G_S G_T G_I G_C G_K G_I G_N G_G
STICKS	G_S G_T G_I G_C G_K G_S
STICKY	G_S G_T G_I G_C G_K G_Y
STIFF	G_S G_T G_I G_F G_F
STIFFEN	G_S G_T G_I G_F G_F G_E G_N
STIFFNESS	G_S G_T G_I G_F G_F G_N G_E G_S G_S
STILL	G_S G_T G_I G_L G_L
STIR	G_S G_T G_I G_R
STIRRED	G_S G_T G_I G_R G_R G_E G_D
STIRRING	G_S G_T G_I G_R G_R G_I G_N G_G
STIRRUP	G_S G_T G_I G_R G_R G_U G_P
STIRRUPS	G_S G_T G_I G_R G_R G_U G_P G_S
STOCK	G_S G_T G_O G_C G_K
STOCKINGS	G_S G_T G_O G_C G_K G_I G_N G_G G_S
STOIC	G_S G_T G_O G_I G_C
STOKE	G_S G_T G_O G_K G_E
STOLE	G_S G_T G_O G_L G_E
STOLEN	G_S G_T G_O G_L G_E G_N
STOLIDLY	G_S G_T G_O G_L G_I G_D G_L G_Y
STOMACH	G_S G_T G_O G_M G_A G_C G_H
STOMMICK	G_S G_T G_O G_M G_M G_I G_C G_K
STONE	G_S G_T G_O G_N G_E
STONE'S	G_S G_T G_O G_N G_E G_S
STONES	G_S G_T G_O G_N G_E G_S
STONY	G_S G_T G_O G_N G_Y
STOOD	G_S G_T G_O G_O G_D
STOOP	G_S G_T G_O G_O G_P
STOOPED	G_S G_T G_O G_O G_P G_E G_D
STOP	G_S G_T G_O G_P
STOPPED	G_S G_T G_O G_P G_P G_E G_D
STOPPING	G_S G_T G_O G_P G_P G_I G_N G_G
STOPS	G_S G_T G_O G_P G_S
STORE	G_S G_T G_O G_R G_E
STORED	G_S G_T G_O G_R G_E G_D
STOREHOUSE	G_S G_T G_O G_R G_E G_H G_O G_U G_S G_E
STORIES	G_S G_T G_O G_R G_I G_E G_S
STORM	G_S G_T G_O G_R G_M
STORY	G_S G_T G_O G_R G_Y
STOUT	G_S G_T G_O G_U G_T
STRAGGLING	G_S G_T G_R G_A G_G G_G G_L G_I G_N G_G
STRAIGHT	G_S G_T G_R G_A G_I G_G G_H G_T
STRAIGHTENS	G_S G_T G_R G_A G_I G_G G_H G_T G_E G_N G_S
STRAIN	G_S G_T G_R G_A G_I G_N
STRAINED	G_S G_T G_R G_A G_I G_N G_E G_D
STRAINS	G_S G_T G_R G_A G_I G_N G_S
STRAITS	G_S G_T G_R G_A G_I G_T G_S
STRANGE	G_S G_T G_R G_A G_N G_G G_E
STRANGELY	G_S G_T G_R G_A G_N G_G G_E G_L G_Y
STRANGENESS	G_S G_T G_R G_A G_N G_G G_E G_N G_E G_S G_S
STRANGER	G_S G_T G_R G_A G_N G_G G_E G_R
STRANGERS	G_S G_T G_R G_A G_N G_G G_E G_R G_S
STRANGEST	G_S G_T G_R G_A G_N G_G G_E G_S G_T
STRATUM	G_S G_T G_R G_A G_T G_U G_M
STRAW	G_S G_T G_R G_A G_W
STRAWBERRY	G_S G_T G_R G_A G_W G_B G_E G_R G_R G_Y
STRAY	G_S G_T G_R G_A G_Y
STRAYING	G_S G_T G_R G_A G_Y G_I G_N G_G
STREAM	G_S G_T G_R G_E G_A G_M
STREAMS	G_S G_T G_R G_E G_A G_M G_S
STREET	G_S G_T G_R G_E G_E G_T
STREETS	G_S G_T G_R G_E G_E G_T G_S
STRENGTH	G_S G_T G_R G_E G_N G_G G_T G_H
STRENGTHENED	G_S G_T G_R G_E G_N G_G G_T G_H G_E G_N G_E G_D
STRENGTHENS	G_S G_T G_R G_E G_N G_G G_T G_H G_E G_N G_S
STRETCHED	G_S G_T G_R G_E G_T G_C G_H G_E G_D
STRETCHING	G_S G_T G_R G_E G_T G_C G_H G_I G_N G_G
STREWED	G_S G_T G_R G_E G_W G_E G_D
STREWN	G_S G_T G_R G_E G_W G_N
STRICT	G_S G_T G_R G_I G_C G_T
STRICTLY	G_S G_T G_R G_I G_C G_T G_L G_Y
STRIKE	G_S G_T G_R G_I G_K G_E
STRIKING	G_S G_T G_R G_I G_K G_I G_N G_G
STRIKINGLY	G_S G_T G_R G_I G_K G_I G_N G_G G_L G_Y
STRING	G_S G_T G_R G_I G_N G_G
STRIPS	G_S G_T G_R G_I G_P G_S
STRIVE	G_S G_T G_R G_I G_V G_E
STRIVING	G_S G_T G_R G_I G_V G_I G_N G_G
STRODE	G_S G_T G_R G_O G_D G_E
STROLLED	G_S G_T G_R G_O G_L G_L G_E G_D
STRONG	G_S G_T G_R G_O G_N G_G
STRONGER	G_S G_T G_R G_O G_N G_G G_E G_R
STRONGHOLD	G_S G_T G_R G_O G_N G_G G_H G_O G_L G_D
STRONGLY	G_S G_T G_R G_O G_N G_G G_L G_Y
STROVE	G_S G_T G_R G_O G_V G_E
STRUCK	G_S G_T G_R G_U G_C G_K
STRUCTURE	G_S G_T G_R G_U G_C G_T G_U G_R G_E
STRUGGLE	G_S G_T G_R G_U G_G G_G G_L G_E
STRUGGLING	G_S G_T G_R G_U G_G G_G G_L G_I G_N G_G
STUBE	G_S G_T G_U G_B G_E
STUCK	G_S G_T G_U G_C G_K
STUDENT	G_S G_T G_U G_D G_E G_N G_T
STUDIED	G_S G_T G_U G_D G_I G_E G_D
STUDIES	G_S G_T G_U G_D G_I G_E G_S
STUDY	G_S G_T G_U G_D G_Y
STUFF	G_S G_T G_U G_F G_F
STUMBLED	G_S G_T G_U G_M G_B G_L G_E G_D
STUNG	G_S G_T G_U G_N G_G
STUNNED	G_S G_T G_U G_N G_N G_E G_D
STUNTED	G_S G_T G_U G_N G_T G_E G_D
STUPEFIED	G_S G_T G_U G_P G_E G_F G_I G_E G_D
STUPID	G_S G_T G_U G_P G_I G_D
STUPIDITY	G_S G_T G_U G_P G_I G_D G_I G_T G_Y
STUPIRTI	G_S G_T G_U G_P G_I G_R G_T G_I
STURDY	G_S G_T G_U G_R G_D G_Y
